Date,year,Address,City,Inc #,Turnout,Travel,RT original,Responsetime,address_geo,lat,long
2013-04-08,2013,2221 Muscatine Ave,Iowa City,13-1349,00:28:00,01:17:00,01:45:00,1.45,"2221 Muscatine Ave, Iowa City, Iowa",41.649242,-91.502457
2013-04-23,2013,3146 E Washington St,Iowa City,13-1555,01:37:00,04:45:00,06:22:00,6.22,"3146 E Washington St, Iowa City, Iowa",41.661191,-91.486089
2013-05-02,2013,1311 W Benton St,Iowa City,13-1699,01:22:00,02:25:00,03:47:00,3.47,"1311 W Benton St, Iowa City, Iowa",41.650193,-91.55895
2013-05-17,2013,1134 Sandusky Dr,Iowa City,13-1919,01:23:00,03:16:00,04:39:00,4.39,"1134 Sandusky Dr, Iowa City, Iowa",41.6371533,-91.5186361
2013-05-21,2013,1020 S Scott Blvd,Iowa City,13-1983,01:31:00,05:07:00,06:38:00,6.38,"1020 S Scott Blvd, Iowa City, Iowa",41.6490984,-91.4816205
2013-06-06,2013,1809 Flatiron Ave,Iowa City,13-2211,01:25:00,02:08:00,03:33:00,3.33,"1809 Flatiron Ave, Iowa City, Iowa",41.637623,-91.509625
2013-06-22,2013,2458 Bittersweet ct,Iowa City,13-2441,01:10:00,04:29:00,05:39:00,5.39,"2458 Bittersweet ct, Iowa City, Iowa",41.6500318,-91.5751922
2013-06-23,2013,413 S Johnson St,Iowa City,13-2460,01:13:00,01:22:00,02:35:00,2.35,"413 S Johnson St, Iowa City, Iowa",41.656198,-91.527714
2013-06-30,2013,4 Sturgie Corner Dr,Iowa City,13-2581,00:52:00,04:13:00,05:05:00,5.05,"4 Sturgie Corner Dr, Iowa City, Iowa",41.6490462,-91.5389429
2013-07-09,2013,2713 Hickory Trl,Iowa City,13-2717,01:25:00,04:06:00,05:31:00,5.31,"2713 Hickory Trl, Iowa City, Iowa",41.671019,-91.497664
2013-07-14,2013,619 N Governor St,Iowa City,13-2797,00:55:00,02:36:00,03:31:00,3.31,"619 N Governor St, Iowa City, Iowa",41.668583,-91.5230349
2013-07-24,2013,2401 Highway #6,Iowa City,13-2980,00:52:00,02:32:00,03:24:00,3.24,"2401 Highway #6, Iowa City, Iowa",41.6352244,-91.5000773
2013-08-04,2013,4958 E Court St.,Iowa City,13-3149,01:24:00,05:21:00,06:45:00,6.45,"4958 E Court St., Iowa City, Iowa",41.657863,-91.464065
2013-08-05,2013,1807 Winston Dr,Iowa City,13-3156,01:05:00,04:01:00,05:06:00,5.06,"1807 Winston Dr, Iowa City, Iowa",41.666481,-91.509164
2013-08-08,2013,601 W Highway #6,Iowa City,13-3212,01:23:00,04:08:00,05:31:00,5.31,"601 W Highway #6, Iowa City, Iowa",41.6352244,-91.5000773
