Date,year,Address,City,Inc. #,Responsetime,address_geo,lat,long
2011-10-13,2011,82 Simpson SW,Cedar Rapids,1107770,6.24,"82 Simpson SW, Cedar Rapids, Iowa",41.9236855,-91.6507005
2011-10-19,2011,2014 K SW,Cedar Rapids,1107910,4,"2014 K SW, Cedar Rapids, Iowa",41.95822,-91.669068
2011-10-26,2011,120 23RD STR SE,Cedar Rapids,1108094,7.14,"120 23RD STR SE, Cedar Rapids, Iowa",41.999434,-91.635448
2011-10-26,2011,120 23RD STR SE,Cedar Rapids,1108103,4.26,"120 23RD STR SE, Cedar Rapids, Iowa",41.999434,-91.635448
2011-10-29,2011,1425 60TH SW,Cedar Rapids,1108193,8.23,"1425 60TH SW, Cedar Rapids, Iowa",41.914363,-91.689853
2011-11-01,2011,900 CENTER POINT NE,Cedar Rapids,1108279,4.04,"900 CENTER POINT NE, Cedar Rapids, Iowa",41.995861,-91.662313
2011-11-02,2011,1243 20TH SW,Cedar Rapids,1108311,5.14,"1243 20TH SW, Cedar Rapids, Iowa",41.958778,-91.6876558
2011-11-08,2011,826 17TH SE,Cedar Rapids,1108454,3.41,"826 17TH SE, Cedar Rapids, Iowa",41.97857,-91.646127
2011-11-12,2011,720 29TH SE,Cedar Rapids,1108566,3.54,"720 29TH SE, Cedar Rapids, Iowa",41.9779484,-91.6256142
2011-11-13,2011,4861 1ST W,Cedar Rapids,1108578,3.55,"4861 1ST W, Cedar Rapids, Iowa",41.9668185,-91.7338273
2011-11-16,2011,1710 16TH SE,Cedar Rapids,1108681,5.24,"1710 16TH SE, Cedar Rapids, Iowa",41.969297,-91.6458959
2011-11-17,2011,1050 WENIG NE,Cedar Rapids,1108710,6.19,"1050 WENIG NE, Cedar Rapids, Iowa",41.999665,-91.676801
2011-11-30,2011,1552 7TH SE,Cedar Rapids,1109040,4.13,"1552 7TH SE, Cedar Rapids, Iowa",41.980726,-91.648138
2011-12-07,2011,255 15TH NW,Cedar Rapids,1109226,6.11,"255 15TH NW, Cedar Rapids, Iowa",41.973527,-91.691566
2011-12-13,2011,400 COLLINS NE,Cedar Rapids,1109389,5.13,"400 COLLINS NE, Cedar Rapids, Iowa",42.0280838,-91.6324042
2011-12-17,2011,5560 6TH SW,Cedar Rapids,1109525,3.24,"5560 6TH SW, Cedar Rapids, Iowa",41.923874,-91.677552
2011-12-22,2011,100 5TH AV SW,Cedar Rapids,1109628,4,"100 5TH AV SW, Cedar Rapids, Iowa",41.9727767,-91.6706981
2011-12-23,2011,505 9TH SW,Cedar Rapids,1109662,4.33,"505 9TH SW, Cedar Rapids, Iowa",41.970477,-91.680972
2011-12-23,2011,4900 16TH SW,Cedar Rapids,1109664,1.17,"4900 16TH SW, Cedar Rapids, Iowa",41.9648399,-91.7348633
2011-12-24,2011,1140 PARK NE,Cedar Rapids,1109689,5.15,"1140 PARK NE, Cedar Rapids, Iowa",42.0307634,-91.6520684
2011-12-25,2011,1515 ARIZONA NE,Cedar Rapids,1109708,5.2,"1515 ARIZONA NE, Cedar Rapids, Iowa",42.015633,-91.658411
2011-12-29,2011,3300 C SW,Cedar Rapids,1109799,6.49,"3300 C SW, Cedar Rapids, Iowa",41.943937,-91.638699
2011-12-29,2011,824 6TH SW,Cedar Rapids,1109804,3.12,"824 6TH SW, Cedar Rapids, Iowa",41.9678677,-91.6770964
2012-01-02,2012,310 5TH SE,Cedar Rapids,1200030,5.02,"310 5TH SE, Cedar Rapids, Iowa",41.9759389,-91.663465
2012-01-02,2012,130 JACOLYN SW,Cedar Rapids,1200049,3.16,"130 JACOLYN SW, Cedar Rapids, Iowa",41.966216,-91.731478
2012-01-03,2012,6702 ARBOR NE,Cedar Rapids,1200083,4.19,"6702 ARBOR NE, Cedar Rapids, Iowa",42.045533,-91.661878
