Date,Year,Address,City,ResponseTime,lat,long
12-Sep-2011,2011,1095 6th Avenue,Marion,2.36,42.0319963,-91.5986798
14-Sep-2011,2011,1950 DODGE NE,Cedar Rapids,6.12,42.027372,-91.6671739
16-Sep-2011,2011,6506 COLORADO SW,Cedar Rapids,8.05,41.915339,-91.664424
18-Sep-2011,2011,2911 LONG BLUFF NE,Cedar Rapids,5.33,42.009123,-91.69408
20-Sep-2011,2011,420 N 1st Ave,Iowa City,5.2,41.666789,-91.501436
24-Sep-2011,2011,1371 19TH SW,Cedar Rapids,4.52,41.959591,-91.691443
24-Sep-2011,2011,225 E Iowa Ave,Iowa City,2.23,41.660984,-91.532031
25-Sep-2011,2011,2128 NORTH TOWNE NE,Cedar Rapids,6.04,42.0329651,-91.6711247
26-Sep-2011,2011,1525 7th Ave SE,Cedar Rapids,5.58,41.9802729,-91.649279
27-Sep-2011,2011,365 Irish Drive,Marion,5.32,42.056833,-91.611635
1-Oct-2011,2011,1400 3RD NW,Cedar Rapids,4.06,41.9868237,-91.6773551
2-Oct-2011,2011,344 19TH SE,Cedar Rapids,5.27,41.987315,-91.642452
2-Oct-2011,2011,1916 Waterfront Dr,Iowa City,3.31,41.6418294,-91.529644
4-Oct-2011,2011,1351 Airport Road,Marion,7.33,41.2864563,-91.6687694
5-Oct-2011,2011,209 7th SE,Cedar Rapids,4.27,41.9809636,-91.6621983
6-Oct-2011,2011,13 Chapel Ridge Circle,Marion,4.29,42.030533,-91.622012
7-Oct-2011,2011,1121 3RD SW,Cedar Rapids,3.43,41.9662625,-91.670044
10-Oct-2011,2011,4500 N. 10th Street,Marion,9.29,42.0669603,-91.6031743
13-Oct-2011,2011,82 SIMPSON SW,Cedar Rapids,5.4,41.9236855,-91.6507005
