GIS_Number,"Map Name",Class,Doing_Business_As,Address,Deedholder,Acres,"Residential Occupancy Type","Style Descr","Year Built","Total Living Area","Commercial Occupancy Type","Year Built_2","Gross Bldg Area","2008 total","2016 Total"
142145900500000,"CITY PROPERTY",EXEMPT,"FLAT PARKING","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.386,"","","","","","","",0,0
142146000100000,"CITY PROPERTY",EXEMPT,"FLAT PARKING","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.2893,"","","","","","","",0,0
142146000200000,"CITY PROPERTY",EXEMPT,"CITY PARKING RAMP","1ST AVE SE","CEDAR RAPIDS CITY OF",0.3214,"","","","","","","",0,0
142146100100000,"CITY PROPERTY",EXEMPT,"GREEN SQUARE PARK","VACANT LAND SE","CEDAR RAPIDS CITY OF",4.132,"","","","","","","",0,0
142220500100000,"CITY PROPERTY",EXEMPT,"CENTRAL PARK","B AVE NE","CEDAR RAPIDS CITY OF",0.2185,"","","","","","","",0,0
142221301100000,"CITY PROPERTY",EXEMPT,DRIVEWAY,"VACANT LAND NE","CEDAR RAPIDS CITY OF",0.012,"","","","","","","",0,0
142223000800000,"CITY PROPERTY",EXEMPT,DRIVEWAY,"VACANT LAND NE","CEDAR RAPIDS CITY OF",0.064,"","","","","","","",0,0
142227800100000,"CITY PROPERTY",EXEMPT,"REDMOND PARK","VACANT LAND SE","CEDAR RAPIDS CITY OF",1.23,"","","","","","","",0,0
142228200100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.15,"","","","","","","",0,0
142235202100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","5TH AVE SE","CEDAR RAPIDS CITY OF",0.0367,"","","","","","","",0,0
142235600400000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.077,"","","","","","","",0,0
142235600500000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.047,"","","","","","","",0,0
142240500100000,"CITY PROPERTY",EXEMPT,"ANDERSON PARK","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.98,"","","","","","","",0,0
142240601000000,"CITY PROPERTY",EXEMPT,"FAIRVIEW PARK","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.34,"","","","","","","",0,0
142248201000000,"CITY PROPERTY",EXEMPT,"AMBROZ REC CENTER","MT VERNON RD SE","CEDAR RAPIDS CITY OF",3.284,"","","","","","","",0,0
142312600100000,"CITY PROPERTY",EXEMPT,"BEVER PARK","VACANT LAND SE","CEDAR RAPIDS CITY OF",10.04,"","","","","","","",0,0
142312600200000,"CITY PROPERTY",EXEMPT,"BEVER PARK","VACANT LAND SE","CEDAR RAPIDS CITY OF",70.0,"","","","","","","",0,0
142337802700000,"CITY PROPERTY",EXEMPT,"FIRE STATION #6","MT VERNON RD SE","CEDAR RAPIDS CITY OF","","","","","","","","",0,0
142412600100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",5.54,"","","","","","","",0,0
142433001200000,"CITY PROPERTY",EXEMPT,SIDEWALK,"VACANT LAND SE","CEDAR RAPIDS CITY OF",0.181,"","","","","","","",0,0
142442800200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.28,"","","","","","","",0,0
142447700900000,"CITY PROPERTY",EXEMPT,"WATER TOWER","MT VERNON RD SE","CEDAR RAPIDS CITY OF",1.02,"","","","","","","",0,0
142528003300000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF","","","","","","","","",0,0
142530102000000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND SE","CEDAR RAPIDS CITY OF","","","","","","","","",0,0
142542901100000,"CITY PROPERTY",EXEMPT,PARK,"VACANT LAND SE","CEDAR RAPIDS CITY OF",14.32,"","","","","","","",0,0
142612603400000,"CITY PROPERTY",EXEMPT,"ARROWHEAD PARK","VACANT LAND SE","CEDAR RAPIDS CITY OF",0.48,"","","","","","","",0,0
142617601300000,"CITY PROPERTY",EXEMPT,"MONROE PARK","VACANT LAND SE","CEDAR RAPIDS CITY OF",4.82,"","","","","","","",0,0
142623001600000,"CITY PROPERTY",EXEMPT,"VACANT LAND","23RD ST SE","CEDAR RAPIDS CITY OF",0.602,"","","","","","","",0,0
142625100100000,"CITY PROPERTY",EXEMPT,"VAN VECHTEN PARK","VACANT LAND SE","CEDAR RAPIDS CITY OF",76.0,"","","","","","","",0,0
