GIS_Number,"Map Name",Class,Doing_Business_As,Address,Deedholder,Acres,"Residential Occupancy Type","Style Descr","Year Built","Total Living Area","Commercial Occupancy Type","Year Built_2","2013 Total","2008 total","2016 Total"
142048400200000,"CITY PROPERTY",EXEMPT,"","G AVE NW","CEDAR RAPIDS CITY OF",0.105,"","","","","","",0,46273,9800
142018001100000,"CITY PROPERTY",EXEMPT,"","3RD ST NW","CEDAR RAPIDS CITY OF",0.126,"","","","","","",0,46292,""
142125201500000,"CITY PROPERTY",EXEMPT,"","1ST ST NW","CEDAR RAPIDS CITY OF",0.144,"","","","","","",0,46393,""
142818800400000,"CITY PROPERTY",EXEMPT,"","2ND ST SE","CEDAR RAPIDS CITY OF",0.096,"","","","","","",0,46406,""
142040602400000,"CITY PROPERTY",EXEMPT,"","J AVE NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,46409,""
142830600400000,"CITY PROPERTY",EXEMPT,"","7TH AVE SW","CEDAR RAPIDS CITY OF",0.065,"","","","","","",0,46417,""
142040100200000,"CITY PROPERTY",EXEMPT,"","3RD ST NW","CEDAR RAPIDS CITY OF",0.115,"","","","","","",0,46437,""
142017600100000,"CITY PROPERTY",EXEMPT,"","O AVE NW","CEDAR RAPIDS CITY OF",0.083,"","","","","","",0,46498,""
142918601800000,"CITY PROPERTY",EXEMPT,"","6TH ST SW","CEDAR RAPIDS CITY OF",0.056,"","","","","","",0,46816,""
142040800200000,"CITY PROPERTY",EXEMPT,"","J AVE NW","CEDAR RAPIDS CITY OF",0.109,"","","","","","",0,46847,""
142017700300000,"CITY PROPERTY",EXEMPT,"","5TH ST NW","CEDAR RAPIDS CITY OF",0.147,Single-Family,Salvage,1943,414.0,"","",0,47014,""
142827800300000,"CITY PROPERTY",EXEMPT,"","4TH AVE SW","CEDAR RAPIDS CITY OF",0.044,"","","","","","",0,47024,""
142041100400000,"CITY PROPERTY",EXEMPT,"","I AVE NW","CEDAR RAPIDS CITY OF",0.176,"","","","","","",0,47088,""
142910400600000,"CITY PROPERTY",EXEMPT,"","C AVE NW","CEDAR RAPIDS CITY OF",0.084,"","","","","","",0,47321,10100
142048400700000,"CITY PROPERTY",EXEMPT,"","G AVE NW","CEDAR RAPIDS CITY OF",0.129,"","","","","","",0,47362,12000
142048400500000,"CITY PROPERTY",EXEMPT,"","G AVE NW","CEDAR RAPIDS CITY OF",0.109,"","","","","","",0,47402,10200
142830600500000,"CITY PROPERTY",EXEMPT,"","7TH AVE SW","CEDAR RAPIDS CITY OF",0.046,"","","","","","",0,47873,""
142917901100000,"CITY PROPERTY",EXEMPT,"","3RD AVE SW","CEDAR RAPIDS CITY OF",0.096,"","","","","","",0,47977,0
142018201600000,"CITY PROPERTY",EXEMPT,"","5TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,48104,""
142132600700000,"CITY PROPERTY",EXEMPT,"","K AVE NW","CEDAR RAPIDS CITY OF",0.089,"","","","","","",0,48194,""
142040200400000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.115,"","","","","","",0,48222,""
142838300200000,"CITY PROPERTY",EXEMPT,"","13TH AVE SW","CEDAR RAPIDS CITY OF",0.053,"","","","","","",0,48343,""
142918200500000,"CITY PROPERTY",EXEMPT,"","4TH AVE SW","CEDAR RAPIDS CITY OF",0.116,Single-Family,Salvage,1900,979.0,"","",0,48418,0
142831100600000,"CITY PROPERTY",EXEMPT,"","3RD ST SW","CEDAR RAPIDS CITY OF",0.111,"","","","","","",0,48477,13100
142048400800000,"CITY PROPERTY",EXEMPT,"","G AVE NW","CEDAR RAPIDS CITY OF",0.129,"","","","","","",0,48651,12000
142132601100000,"CITY PROPERTY",EXEMPT,"","1ST ST NW","CEDAR RAPIDS CITY OF",0.15,"","","","","","",0,48870,""
142017601500000,"CITY PROPERTY",EXEMPT,"","1ST ST NW","CEDAR RAPIDS CITY OF",0.161,"Detached Structures Only","",1928,"","","",0,48981,""
142827801100000,"CITY PROPERTY",EXEMPT,"","1ST ST SW","CEDAR RAPIDS CITY OF",0.048,"","","","","","",0,49230,""
142840500100000,"CITY PROPERTY",EXEMPT,"VACANT DWLG","13TH AVE SE","CEDAR RAPIDS CITY OF",0.0758,Single-Family,Salvage,1908,604.0,"","",0,49659,59000
142048401000000,"CITY PROPERTY",EXEMPT,"","G AVE NW","CEDAR RAPIDS CITY OF",0.174,"","","","","","",0,50002,15600
142040200900000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.115,"","","","","","",0,50077,""
142018501400000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,50083,""
142724000300000,"CITY PROPERTY",EXEMPT,"","9TH AVE SE","CEDAR RAPIDS CITY OF",0.085,"","","","","","",4842,50115,""
142017700100000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.132,"","","","","","",0,50195,""
142040200600000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.115,"","","","","","",0,50198,""
142048101100000,"CITY PROPERTY",EXEMPT,"","G AVE NW","CEDAR RAPIDS CITY OF",0.129,Single-Family,Salvage,1868,760.0,"","",0,50233,12000
142048500600000,"CITY PROPERTY",EXEMPT,"","F AVE NW","CEDAR RAPIDS CITY OF",0.071,"","","","","","",0,50248,""
142132600400000,"CITY PROPERTY",EXEMPT,"","2ND ST NW","CEDAR RAPIDS CITY OF",0.115,"","","","","","",0,50392,""
142835500400000,"CITY PROPERTY",EXEMPT,"","N ST SW","CEDAR RAPIDS CITY OF",0.06,Single-Family,Salvage,1900,564.0,"","",0,50502,""
142040602500000,"CITY PROPERTY",EXEMPT,"","J AVE NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,50506,""
142040602700000,"CITY PROPERTY",EXEMPT,"","J AVE NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,50591,""
142125201000000,"CITY PROPERTY",EXEMPT,"","1ST ST NW","CEDAR RAPIDS CITY OF",0.082,"","","","","","",0,50971,""
142018000800000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.147,"Detached Structures Only","",2010,"","","",0,51037,""
143320500900000,"CITY PROPERTY",EXEMPT,"","K ST SW","CEDAR RAPIDS CITY OF",0.161,"","","","","","",0,51134,145900
142018500100000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,51246,""
142040200500000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.115,"","","","","","",0,51254,""
142918300500000,"CITY PROPERTY",EXEMPT,"","7TH ST SW","CEDAR RAPIDS CITY OF",0.048,"","","","","","",0,51337,""
142018000700000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,51342,""
142048401300000,"CITY PROPERTY",EXEMPT,"","F AVE NW","CEDAR RAPIDS CITY OF",0.141,"Detached Structures Only","",2010,"","","",0,51574,13200
142825601600000,"CITY PROPERTY",EXEMPT,"","2ND ST SW","CEDAR RAPIDS CITY OF",0.055,"","","","","","",0,51601,""
142825601700000,"CITY PROPERTY",EXEMPT,CONVERSION,"2ND ST SW","CEDAR RAPIDS CITY OF",0.0689,"Four-Family Conversion","2 Story Frame",1900,1834.0,"","",0,51702,""
142018401400000,"CITY PROPERTY",EXEMPT,"","3RD ST NW","CEDAR RAPIDS CITY OF",0.101,"","","","","","",0,51739,""
142838200200000,"CITY PROPERTY",EXEMPT,"","12TH AVE SW","CEDAR RAPIDS CITY OF",0.078,"","","","","","",0,51772,""
142818500700000,"CITY PROPERTY",EXEMPT,"VACANT LOT","3RD ST SE","CEDAR RAPIDS CITY OF",0.0964,"","","","","","",0,51862,""
142040602900000,"CITY PROPERTY",EXEMPT,"","J AVE NW","CEDAR RAPIDS CITY OF",0.22,"","","","","","",0,51867,""
142040201800000,"CITY PROPERTY",EXEMPT,"","3RD ST NW","CEDAR RAPIDS CITY OF",0.115,"","","","","","",0,51901,""
142125100800000,"CITY PROPERTY",EXEMPT,"","1ST ST NW","CEDAR RAPIDS CITY OF",0.138,"Detached Structures Only","",2010,"","","",0,51921,""
142918501100000,"CITY PROPERTY",EXEMPT,"","3RD AVE SW","CEDAR RAPIDS CITY OF",0.129,"","","","","","",0,51930,109500
142018101400000,"CITY PROPERTY",EXEMPT,"","4TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,52122,""
142018401600000,"CITY PROPERTY",EXEMPT,"","3RD ST NW","CEDAR RAPIDS CITY OF",0.126,"","","","","","",0,52207,""
142125200300000,"CITY PROPERTY",EXEMPT,"","3RD ST NW","CEDAR RAPIDS CITY OF",0.125,"","","","","","",0,52304,""
142041100100000,"CITY PROPERTY",EXEMPT,"","I AVE NW","CEDAR RAPIDS CITY OF",0.09,"","","","","","",0,52509,""
