Casey's Location,County,County # (See Map),Walmart in town?,Title X Agency & Clinic (Nearby ?),Title X Satellite Clinic,Satellite Clinic with Referral for Physical Examination,latitude,longitude
Strawberry Point,Clayton,12,,"Decorah, IA (60+ minutes away)",,,42.68034,-91.53496
Marquette,Clayton,12,,,,,43.049094499999995,-91.1937375
Camanche,Clinton,55,,,,,41.79276,-90.27668
Clinton,Clinton,55,,Women's Health Services,,,41.852045000000004,-90.249215
Delmar,Clinton,55,,"Clinton, IA (40 minutes away)",,,42.00225,-90.60708
DeWitt,Clinton,55,,"Clinton, IA (30 minutes away)",,,42.00027,-93.50049
Denison,Crawford,44,YES,,Denison Clinic,,42.01777,-95.35528
Adel,Dallas,62,,,,,41.61235,-94.01291
Dallas Center,Dallas,62,,,,,41.68679,-93.98429
De Soto,Dallas,62,,,,,41.53166,-94.00967
Redfield,Dallas,62,,,,,41.590703500000004,-94.19443799999999
Dexter,Dallas,62,,,,,41.515473,-94.22760149999999
Earlham,Dallas,62,,,,,41.49193,-94.12412
Granger,Dallas,62,,,,,41.7611,-93.82439
Perry ,Dallas,62,,,Dallas County Family Developemtn Center,,41.8386,-94.10718
Van Meter,Dallas,62,,,,,41.52403,-93.94952
Waukee,Dallas,62,,,,,41.60008,-93.87002
Woodward,Dallas,62,,,,,41.841986500000004,-93.92173700000001
Bloomfield,Davis,96,,,,,40.75169,-92.41491
Lamoni,Decatur,93,,,,,40.62046,-93.9344
Leon,Decatur,93,,,,,40.73972,-93.74772
Edgewood,Delaware,32,,,,,42.64443,-91.40125
Manchester,Delaware,32,YES,,,Manchester Clinic,42.486149,-91.4446915
Mediapolis,Des Moines,99,,,,,41.00789,-91.16374
Burlington,Des Moines,99,YES,Planned Parenthood of Southeast Iowa,,,40.804539500000004,-91.129274
West Burlington,Des Moines,99,YES,Planned Parenthood of Southeast Iowa,,,40.820271000000005,-91.18064150000001
Middletown,Des Moines,99,,,,,40.82837,-91.25904
Arnold's Park,Dickinson,3,,,,,43.359587,-95.1237525
Milford,Dickinson,3,,,,,43.32469,-95.15
Okoboji,Dickinson,3,,,,,43.38635,-95.14833
Spirit Lake,Dickinson,3,,,,,43.417,-95.11242
Dubuque,Dubuque,31,YES,Hillcrest Family Services Clinic,,,42.50096,-90.7062
Dyersville,Dubuque,31,,,,,42.47929,-91.12417
Farley,Dubuque,31,,,,,42.443704,-91.015335
Peosta ,Dubuque,31,,,,,42.45056,-90.85041
Armstrong,Emmet,4,,,,,43.39607,-94.47831
Estherville,Emmet,4,,,,,43.403342,-94.8357415
Clermont,Fayette,13,,,,,43.00359,-91.65237
West Union,Fayette,13,,,,,42.956511000000006,-91.8110615
Fairbank,Fayette,13,,,,,42.63915,-92.04712
Maynard,Fayette,13,,,,,42.773847,-91.87757500000001
Oelwein,Fayette,13,,,,,42.667595000000006,-91.913766
Sumner,Fayette,13,,,,,42.849342,-92.0967915
Charles City,Floyd,15,,,,"Allison, IA (40 minutes away)",43.06435,-92.67452
Ackley,Franklin,28,,,,,42.55415,-93.05326
Hampton,Franklin,28,,,Franklin County Public Health Nursing,,42.738037500000004,-93.2073135
Sheffield,Franklin,28,,,,,42.8933,-93.2152
Hamburg,Fremont,89,,,,,40.60445,-95.65777
Tabor,Fremont,89,,,,,40.89833,-95.67139
Sidney,Fremont,89,,,,,40.74833,-95.6475
Grand Junction,Greene,46,,,,,42.03165,-94.2408
Jefferson,Greene,46,,,,,42.01526,-94.37747
Scranton,Greene,46,,,,,42.02248,-94.54525
Conrad,Grundy,35,,,,,42.22351,-92.87449
Grundy Center,Grundy,35,,,,,42.36376,-92.7744
Reinbeck,Grundy,35,,,,,42.3236,-92.59936
Adair,Guthrie,63,,,,,41.500353,-94.643339
Guthrie Center,Guthrie,63,,,,,41.67721,-94.5033
Panora,Guthrie,63,,New Opportunities (55 minutes away),,,41.689209000000005,-94.3632255
Stuart,Guthrie,63,,New Opportunities (20 minutes away),,,41.498359,-94.3164985
