GIS_Number,Map Name,Class,Doing_Business_As,Address,Deedholder,Acres,Residential Occupancy Type,Style Descr,Year Built,Total Living Area,Commercial Occupancy Type,Year Built_2,2016 Total,2008 total,Sale date,Amount,Non-Useable Transaction Code,Recording
1.42911E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST NW,CEDAR RAPIDS CITY OF,0.048,,,,,,,0,41442,,,,
1.42826E+14,CITY PROPERTY,EXEMPT,VACANT LAND,6TH ST SW,CEDAR RAPIDS CITY OF,0.121,,,,,,,0,41452,,,,
1.42041E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST NW,CEDAR RAPIDS CITY OF,0.051,,,,,,,0,41536,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,H AVE NW,CEDAR RAPIDS CITY OF,0.129,,,,,,,0,41717,,,,
1.4353E+14,CITY PROPERTY,EXEMPT,VACANT LAND,24TH AVE SE,CEDAR RAPIDS CITY OF,0.266,,,,,,,0,42513,,,,
1.4283E+14,CITY PROPERTY,EXEMPT,VACANT LAND,3RD ST SW,CEDAR RAPIDS CITY OF,0.161,,,,,,,0,42541,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,G AVE NW,CEDAR RAPIDS CITY OF,0.129,,,,,,,0,42665,,,,
1.42911E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH ST NW,CEDAR RAPIDS CITY OF,0.039,,,,,,,0,42685,,,,
1.4204E+14,CITY PROPERTY,EXEMPT,VACANT LAND,5TH ST NW,CEDAR RAPIDS CITY OF,0.074,,,,,,,0,42728,,,,
1.42918E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND AVE SW,CEDAR RAPIDS CITY OF,0.066,,,,,,,0,42787,,,,
1.42048E+14,CITY PROPERTY,EXEMPT,VACANT LAND,G AVE NW,CEDAR RAPIDS CITY OF,0.1286,,,,,,,0,42789,,,,
1.42733E+14,CITY PROPERTY,EXEMPT,VACANT LAND,2ND ST SE,CEDAR RAPIDS CITY OF,0.069,,,,,,,0,42796,,,,
1.4291E+14,CITY PROPERTY,EXEMPT,VACANT LAND,4TH ST NW,CEDAR RAPIDS CITY OF,0.053,,,,,,,0,42830,,,,
