GIS_Number_valuations,Map_Name_valuations,Class_valuations,2009 Land,2009 Dwlg,2009 Improv,2009 Total
113420101400000,NE 159,Residential,30531,200846,0,231377
113420101500000,NE 159,Residential,32544,188947,0,221491
113420101600000,NE 159,Residential,29627,195678,0,225305
113420101700000,NE 159,Residential,31920,213301,0,245221
113420101800000,NE 159,Residential,28000,215866,0,243866
113420101900000,NE 159,Residential,30000,209420,0,239420
113420102000000,NE 159,Residential,31387,155117,0,186504
113420102100000,NE 159,Residential,33277,186668,0,219945
113420102200000,NE 159,Residential,32301,159823,0,192124
113420102300000,NE 159,Residential,32556,196879,0,229435
113420102400000,NE 159,Residential,31062,201377,0,232439
113420102500000,NE 159,Residential,31108,169088,0,200196
113420102600000,NE 159,Residential,27624,173373,0,200997
113420102700000,NE 159,Residential,28560,187937,0,216497
113420102800000,NE 159,Residential,32781,172545,0,205326
113420102900000,NE 159,Residential,32769,176893,0,209662
113420103000000,NE 159,Residential,33850,199791,0,233641
113420103100000,NE 159,Residential,32436,221852,0,254288
113420103200000,NE 159,Residential,33266,199771,0,233037
113420103300000,NE 159,Residential,31956,244000,0,275956
113420103400000,NE 159,Residential,28280,180958,0,209238
113420103500000,NE 159,Residential,28280,195895,0,224175
113420103600000,NE 159,Residential,28280,176366,0,204646
113420103700000,NE 159,Residential,32549,172955,0,205504
113420200200000,NE 159,Residential,34560,196356,0,230916
113420200300000,NE 159,Residential,33589,196079,0,229668
113420200400000,NE 159,Residential,32400,155827,0,188227
113420200500000,NE 159,Residential,34043,193340,0,227383
113420200600000,NE 159,Residential,37394,181645,0,219039
113420200700000,NE 159,Residential,37645,184090,0,221735
113420200800000,NE 159,Residential,34191,191223,0,225414
113420200900000,NE 159,Residential,31040,192496,0,223536
113420201000000,NE 159,Residential,29255,169319,0,198574
113420201100000,NE 159,Residential,31601,193418,0,225019
113420201200000,NE 159,Residential,31279,210865,0,242144
113420201300000,NE 159,Residential,32172,219475,0,251647
113420201400000,NE 159,Residential,29044,184998,0,214042
113420201500000,NE 159,Residential,32187,184003,0,216190
113420201600000,NE 159,Residential,28000,171433,0,199433
113420300100000,NE 159,Residential,27936,168776,0,196712
113420300200000,NE 159,Residential,27936,170762,0,198698
113420300300000,NE 159,Residential,29100,144223,0,173323
113420300400000,NE 159,Residential,35578,165355,0,200933
113420300500000,NE 159,Residential,33799,249887,0,283686
113420300600000,NE 159,Residential,34885,204517,0,239402
113420300700000,NE 159,Residential,34064,182921,0,216985
113420400100000,NE 159,Residential,34992,197914,0,232906
113420400200000,NE 159,Residential,32560,181070,0,213630
113420400300000,NE 159,Residential,31803,172474,0,204277
113420400400000,NE 159,Residential,30384,207501,0,237885
113420400500000,NE 159,Residential,33589,189632,0,223221
113420400600000,NE 159,Residential,29476,213133,0,242609
113420400700000,NE 159,Residential,29120,195644,0,224764
113420400800000,NE 159,Residential,33688,169114,0,202802
113420400900000,NE 159,Residential,33283,191874,0,225157
113420500100000,NE 159,Residential,34706,181019,0,215725
113420500200000,NE 159,Residential,46353,200912,0,247265
