GIS_Number_valuations,Map_Name_valuations,Class_valuations,2010 Land Res,2010 Land Comm,2010 Land Total,2010 Dwlg,2010 Improv,2010 Total
112638300200000,NE 160,Residential,29792,0,29792,184688,0,214480
112712600400000,NE 110,Residential,49600,0,49600,226409,0,276009
112712600500000,NE 110,Residential,51750,0,51750,160497,0,212247
112712600600000,NE 110,Residential,53750,0,53750,222194,0,275944
112712700200000,NE 163,Residential,38688,0,38688,201190,0,239878
112712700300000,NE 163,Residential,35360,0,35360,245343,0,280703
112712700400000,NE 163,Residential,35360,0,35360,214808,0,250168
112712700500000,NE 163,Residential,35360,0,35360,225144,0,260504
112712800100000,NE 163,Residential,37060,0,37060,221192,0,258252
112715200100000,NE 101,Ag Land,14621,0,14621,0,0,14621
112715200200000,NE 163,Residential,45099,0,45099,253711,0,298810
112715200300000,NE 163,Residential,39600,0,39600,262374,0,301974
112715200400000,NE 163,Residential,53508,0,53508,276435,0,329943
112715200500000,NE 163,Residential,36040,0,36040,191489,0,227529
112715200600000,NE 163,Residential,37093,0,37093,236775,0,273868
112715200700000,NE 163,Residential,40693,0,40693,237842,0,278535
112715200800000,NE 163,Residential,34880,0,34880,232010,0,266890
112715200900000,NE 163,Residential,34880,0,34880,245877,0,280757
112715201000000,NE 163,Residential,34880,0,34880,245055,0,279935
112715201100000,NE 163,Residential,34880,0,34880,261739,0,296619
112715201200000,NE 163,Residential,34880,0,34880,228414,0,263294
112715201300000,NE 163,Residential,34880,0,34880,0,0,34880
112715201400000,NE 163,Residential,38520,0,38520,0,0,38520
112715201500000,NE 163,Residential,47373,0,47373,0,0,47373
112715201600000,NE 163,Residential,45693,0,45693,0,0,45693
112715201700000,NE 163,Residential,42400,0,42400,0,0,42400
112715201800000,NE 163,Residential,47815,0,47815,0,0,47815
112715201900000,NE 163,Residential,42973,0,42973,101420,0,144393
112715202000000,NE 163,Residential,37060,0,37060,0,0,37060
112715202100000,NE 163,Residential,35227,0,35227,0,0,35227
112715202200000,NE 163,Residential,46800,0,46800,0,0,46800
112715202300000,NE 163,Residential,56733,0,56733,332232,0,388965
112715202400000,NE 163,Residential,45226,0,45226,0,0,45226
112715202500000,NE 163,Residential,40084,0,40084,0,0,40084
112715202600000,NE 163,Residential,44875,0,44875,0,0,44875
112715300100000,NE 163,Residential,36915,0,36915,239816,0,276731
112715300200000,NE 163,Residential,38720,0,38720,230136,0,268856
112715300300000,NE 163,Residential,34880,0,34880,0,0,34880
112715300400000,NE 163,Residential,34560,0,34560,0,0,34560
112715300500000,NE 163,Residential,34560,0,34560,0,0,34560
112715300600000,NE 163,Residential,34560,0,34560,0,0,34560
112715300700000,NE 163,Residential,34560,0,34560,0,0,34560
112715300800000,NE 163,Residential,34240,0,34240,0,0,34240
112715300900000,NE 163,Residential,34240,0,34240,56001,0,90241
112715301000000,NE 163,Residential,39200,0,39200,246807,0,286007
112715301100000,NE 163,Residential,41373,0,41373,250319,0,291692
112715301200000,NE 163,Residential,41813,0,41813,223588,0,265401
112715301300000,NE 163,Residential,45387,0,45387,270223,0,315610
112715400100000,NE 163,Residential,46213,0,46213,0,0,46213
112715400200000,NE 163,Residential,40544,0,40544,0,0,40544
112715400300000,NE 163,Residential,39900,0,39900,0,0,39900
112715400400000,NE 163,Residential,35700,0,35700,0,0,35700
112715400500000,NE 163,Residential,35700,0,35700,0,0,35700
112715400600000,NE 163,Residential,35700,0,35700,0,0,35700
112715400700000,NE 163,Residential,35700,0,35700,0,0,35700
112715400800000,NE 163,Residential,35700,0,35700,0,0,35700
112715400900000,NE 163,Residential,35700,0,35700,210721,0,246421
112715401000000,NE 163,Residential,35700,0,35700,251221,0,286921
112715401100000,NE 163,Residential,35700,0,35700,204007,0,239707
112715401200000,NE 163,Residential,35700,0,35700,225307,0,261007
112715401300000,NE 163,Residential,44421,0,44421,0,0,44421
112717700100000,NE 101,Ag Land,10531,0,10531,0,0,10531
112720401500000,NE 162,Ag Land,8398,0,8398,0,0,8398
112720401600000,E-20 SCHOOLS,Exempt,0,0,0,0,0,0
112720401700000,NE 101,Ag Land,70,0,70,0,0,70
112722600400000,NE 162,Ag Land,61133,0,61133,0,0,61133
112725100400000,NE 101,Ag Dwelling,31750,0,31750,236940,0,268690
112727600100000,NE 101,Ag Land,33105,0,33105,0,0,33105
112727600200000,NE 163,Residential,43680,0,43680,0,0,43680
112727600300000,NE 163,Residential,35360,0,35360,229161,0,264521
112727600400000,NE 163,Residential,35360,0,35360,100968,0,136328
112727600500000,NE 163,Residential,35360,0,35360,171514,0,206874
112727600600000,NE 163,Residential,37440,0,37440,241140,0,278580
112727700100000,NE 163,Residential,39900,0,39900,300019,0,339919
112727700200000,NE 163,Residential,36120,0,36120,0,0,36120
112727700300000,NE 163,Residential,36120,0,36120,263593,0,299713
112727700400000,NE 163,Residential,36120,0,36120,277008,0,313128
112727800100000,NE 163,Residential,49088,0,49088,278958,0,328046
112727800200000,NE 163,Residential,46620,0,46620,241674,0,288294
112727800300000,NE 163,Residential,50647,0,50647,227338,0,277985
112727800400000,NE 163,Residential,45780,0,45780,257430,0,303210
112727900100000,NE 163,Residential,36540,0,36540,213460,0,250000
112727900200000,NE 163,Residential,36540,0,36540,244156,0,280696
112727900300000,NE 163,Residential,33600,0,33600,303643,0,337243
112727900400000,NE 163,Residential,33600,0,33600,0,0,33600
112727900500000,NE 163,Residential,33320,0,33320,236956,0,270276
112727900600000,NE 163,Residential,32900,0,32900,0,0,32900
112727900700000,NE 163,Residential,32309,0,32309,0,0,32309
112727900800000,NE 163,Residential,31815,0,31815,271247,0,303062
112727900900000,NE 163,Residential,35316,0,35316,223537,0,258853
112727901000000,NE 163,Residential,35200,0,35200,4321,0,39521
112728100100000,NE 163,Residential,37380,0,37380,0,0,37380
112728200100000,NE 163,Residential,37380,0,37380,0,0,37380
112728200200000,NE 163,Residential,37380,0,37380,0,0,37380
112730100100000,NE 101,Ag Land,14563,0,14563,0,0,14563
112730100300000,NE 163,Residential,30269,0,30269,135869,0,166138
112730100400000,NE 163,Residential,26948,0,26948,152205,0,179153
112730100500000,NE 163,Residential,26948,0,26948,162215,0,189163
112730100600000,NE 163,Residential,26948,0,26948,150430,0,177378
112730100700000,NE 163,Residential,26948,0,26948,155644,0,182592
112730100800000,NE 163,Residential,26948,0,26948,139734,0,166682
112730100900000,NE 163,Residential,26948,0,26948,145874,0,172822
112730101000000,NE 163,Residential,26948,0,26948,184569,0,211517
112730101100000,NE 163,Residential,26948,0,26948,140271,0,167219
112730101200000,NE 163,Residential,26948,0,26948,177473,0,204421
112730101300000,NE 163,Residential,26948,0,26948,140351,0,167299
112730101400000,NE 163,Residential,26948,0,26948,117220,0,144168
112730101500000,NE 163,Residential,26948,0,26948,138550,0,165498
112730101600000,NE 163,Residential,26948,0,26948,131529,0,158477
112730101700000,NE 163,Residential,26948,0,26948,155837,0,182785
112730101800000,NE 163,Residential,26948,0,26948,140677,0,167625
112730101900000,NE 163,Residential,30000,0,30000,185426,0,215426
112730102000000,NE 163,Residential,30000,0,30000,154701,0,184701
112730102100000,NE 163,Residential,26948,0,26948,142896,0,169844
112730102200000,NE 163,Residential,26948,0,26948,152886,0,179834
112730102300000,NE 163,Residential,26948,0,26948,157691,0,184639
112730102400000,NE 163,Residential,26948,0,26948,170428,0,197376
112730102500000,NE 163,Residential,26948,0,26948,157627,0,184575
112730102600000,NE 163,Residential,26948,0,26948,165848,0,192796
112730102700000,NE 163,Residential,26948,0,26948,166449,0,193397
112730102800000,NE 163,Residential,26948,0,26948,168665,0,195613
112730102900000,NE 163,Residential,26948,0,26948,141348,0,168296
112730103000000,NE 163,Residential,26948,0,26948,144264,0,171212
112730103100000,NE 163,Residential,26948,0,26948,160188,0,187136
112730103200000,NE 163,Residential,26948,0,26948,181932,0,208880
112730103300000,NE 163,Residential,26948,0,26948,170170,0,197118
112730103400000,NE 163,Residential,26948,0,26948,184866,0,211814
112730103500000,NE 163,Residential,26948,0,26948,168441,0,195389
112730103600000,NE 163,Residential,31349,0,31349,138649,0,169998
112730200100000,NE 163,Residential,26000,0,26000,157994,0,183994
112730200200000,NE 163,Residential,31532,0,31532,157572,0,189104
112730200300000,NE 163,Residential,28620,0,28620,162867,0,191487
