GIS_Number_valuations,Map_Name_valuations,Class_valuations,2015 Land Res,2015 Land Comm,2015 Total Land,2015 Dwlg,2015 Improv,2015 Total
112638200500000,NE 160,RESIDENTIAL,48400,0,48400,181400,0,229800
112638200600000,NE 160,RESIDENTIAL,48500,0,48500,159200,0,207700
112638200700000,NE 160,RESIDENTIAL,49300,0,49300,169800,0,219100
112638200800000,NE 160,RESIDENTIAL,44600,0,44600,162900,0,207500
112638200900000,NE 160,RESIDENTIAL,44600,0,44600,171600,0,216200
112638201000000,NE 160,RESIDENTIAL,49300,0,49300,186200,0,235500
112638201100000,NE 160,RESIDENTIAL,51100,0,51100,219100,0,270200
112638201200000,NE 160,RESIDENTIAL,49300,0,49300,196500,0,245800
112638201300000,NE 160,RESIDENTIAL,46300,0,46300,194500,0,240800
112638201400000,NE 160,RESIDENTIAL,42800,0,42800,157900,0,200700
112638201500000,NE 160,RESIDENTIAL,49300,0,49300,165900,0,215200
112638201600000,NE 160,RESIDENTIAL,44600,0,44600,181400,0,226000
112638201700000,NE 160,RESIDENTIAL,47700,0,47700,178300,0,226000
112638201800000,NE 160,RESIDENTIAL,50900,0,50900,172000,0,222900
112638201900000,NE 160,RESIDENTIAL,51700,0,51700,203200,0,254900
112638202000000,NE 160,RESIDENTIAL,46900,0,46900,146400,0,193300
112638202100000,NE 160,RESIDENTIAL,46900,0,46900,138400,0,185300
112638202200000,NE 160,RESIDENTIAL,46900,0,46900,184000,0,230900
112638202300000,NE 160,RESIDENTIAL,50000,0,50000,195200,0,245200
112638300100000,NE 160,RESIDENTIAL,48900,0,48900,183300,0,232200
112638300200000,NE 160,RESIDENTIAL,48900,0,48900,175800,0,224700
112712600400000,NE 110,RESIDENTIAL,49600,0,49600,224400,0,274000
112712600500000,NE 110,RESIDENTIAL,51800,0,51800,158200,0,210000
112712600600000,NE 110,RESIDENTIAL,53800,0,53800,231700,0,285500
112712700200000,NE 173,RESIDENTIAL,54700,0,54700,168500,0,223200
112712700300000,NE 173,RESIDENTIAL,52600,0,52600,225200,0,277800
112712700400000,NE 173,RESIDENTIAL,52600,0,52600,220800,0,273400
112712700500000,NE 173,RESIDENTIAL,52600,0,52600,222600,0,275200
112712800100000,NE 173,RESIDENTIAL,55300,0,55300,197000,0,252300
112715200100000,NE 101,AG LAND,28600,0,28600,0,0,28600
112715200200000,NE 173,RESIDENTIAL,61200,0,61200,246200,0,307400
112715200300000,NE 173,RESIDENTIAL,56600,0,56600,267400,0,324000
112715200400000,NE 173,RESIDENTIAL,72700,0,72700,289500,0,362200
112715200500000,NE 173,RESIDENTIAL,53700,0,53700,179500,0,233200
112715200600000,NE 173,RESIDENTIAL,55300,0,55300,221800,0,277100
112715200700000,NE 173,RESIDENTIAL,57600,0,57600,232500,0,290100
112715200800000,NE 173,RESIDENTIAL,52000,0,52000,214700,0,266700
112715200900000,NE 173,RESIDENTIAL,52000,0,52000,238600,0,290600
112715201000000,NE 173,RESIDENTIAL,52000,0,52000,238300,0,290300
112715201100000,NE 173,RESIDENTIAL,52000,0,52000,250700,0,302700
112715201200000,NE 173,RESIDENTIAL,52000,0,52000,224200,0,276200
112715201300000,NE 173,RESIDENTIAL,52000,0,52000,241400,0,293400
112715201400000,NE 173,RESIDENTIAL,54500,0,54500,251900,0,306400
112715201500000,NE 173,RESIDENTIAL,62900,0,62900,260700,0,323600
112715201600000,NE 173,RESIDENTIAL,60200,0,60200,240900,0,301100
112715201700000,NE 173,RESIDENTIAL,56800,0,56800,0,0,56800
112715201800000,NE 173,RESIDENTIAL,64200,0,64200,257100,0,321300
112715201900000,NE 173,RESIDENTIAL,61500,0,61500,265000,0,326500
112715202000000,NE 173,RESIDENTIAL,55300,0,55300,256100,0,311400
112715202100000,NE 173,RESIDENTIAL,52400,0,52400,249100,0,301500
112715202200000,NE 173,RESIDENTIAL,62800,0,62800,266600,0,329400
112715202300000,NE 173,RESIDENTIAL,77000,0,77000,287800,0,364800
112715202400000,NE 173,RESIDENTIAL,60600,0,60600,259100,0,319700
112715202500000,NE 173,RESIDENTIAL,53700,0,53700,278700,0,332400
112715202600000,NE 173,RESIDENTIAL,63700,0,63700,0,0,63700
112715300100000,NE 173,RESIDENTIAL,55600,0,55600,232700,0,288300
112715300200000,NE 173,RESIDENTIAL,52500,0,52500,207700,0,260200
112715300300000,NE 173,RESIDENTIAL,52000,0,52000,233000,0,285000
112715300400000,NE 173,RESIDENTIAL,51500,0,51500,254100,0,305600
112715300500000,NE 173,RESIDENTIAL,51500,0,51500,281800,0,333300
112715300600000,NE 173,RESIDENTIAL,51500,0,51500,264200,0,315700
112715300700000,NE 173,RESIDENTIAL,51500,0,51500,231300,0,282800
112715300800000,NE 173,RESIDENTIAL,51000,0,51000,237400,0,288400
112715300900000,NE 173,RESIDENTIAL,51000,0,51000,233500,0,284500
112715301000000,NE 173,RESIDENTIAL,58300,0,58300,240100,0,298400
112715301100000,NE 173,RESIDENTIAL,58500,0,58500,242100,0,300600
112715301200000,NE 173,RESIDENTIAL,59900,0,59900,221300,0,281200
112715301300000,NE 173,RESIDENTIAL,61600,0,61600,242500,0,304100
112715400100000,NE 173,RESIDENTIAL,51600,0,51600,0,0,51600
112715400200000,NE 173,RESIDENTIAL,51300,0,51300,0,0,51300
112715400300000,NE 173,RESIDENTIAL,50500,0,50500,0,0,50500
112715400400000,NE 173,RESIDENTIAL,47800,0,47800,227500,0,275300
112715400500000,NE 173,RESIDENTIAL,47800,0,47800,225200,0,273000
112715400600000,NE 173,RESIDENTIAL,47800,0,47800,252200,0,300000
112715400700000,NE 173,RESIDENTIAL,47800,0,47800,231100,0,278900
112715400800000,NE 173,RESIDENTIAL,47800,0,47800,247200,0,295000
112715400900000,NE 173,RESIDENTIAL,47800,0,47800,211500,0,259300
112715401000000,NE 173,RESIDENTIAL,47800,0,47800,244500,0,292300
112715401100000,NE 173,RESIDENTIAL,47800,0,47800,198100,0,245900
112715401200000,NE 173,RESIDENTIAL,47800,0,47800,200100,0,247900
