GIS_Number,Doing_Business_As,Class,Map Name,Hse#,Address,Deedholder,Acres,Residential Occupancy Type,Style Descr,Year Built,Total Living Area,Commercial Occupancy Type,Year Built_2,Gross Bldg Area,_unnamed,2012 Land Res,2012 Land Comm,2012 Land Total,2012 Dwlg,2012 Improv,2012 Total,GIS_Number_valuations,Map_Name_valuations,Class_valuations,2008 Land,2008 Dwlg,2008 Improv,2008 total,GIS_Number_valuations,Map_Name_valuations,Class_valuations,2016 Land Res,2016 Land Comm,2016 Land Total,2016 Dwlg,2016 Improv,2016 Total
132517600200000,,Exempt,CITY PROPERTY,3572,JOHNSON AVE NW,CEDAR RAPIDS CITY OF,4.0,,,,,,,,,0,0,0,0,0,0,132517600200000,Empty,Exempt,0,0,0,0,132517600200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132520401600000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.4624,,,,,,,,,0,0,0,0,0,0,132520401600000,Empty,Exempt,0,0,0,0,132520401600000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132525301500000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.2254,,,,,,,,,0,0,0,0,0,0,132525301500000,Empty,Exempt,0,0,0,0,132525301500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132525301600000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,2.4929,,,,,,,,,0,0,0,0,0,0,132525301600000,Empty,Exempt,0,0,0,0,132525301600000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132525800100000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.71,,,,,,,,,0,0,0,0,0,0,132525800100000,Empty,Exempt,0,0,0,0,132525800100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132527601000000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.5676,,,,,,,,,0,0,0,0,0,0,132527601000000,Empty,Exempt,0,0,0,0,132527601000000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132528400100000,,Exempt,CITY PROPERTY,4201,JUPITER AVE NW,CEDAR RAPIDS CITY OF,0.1688,,,,,,,,,0,0,0,0,0,0,132528400100000,Empty,Exempt,0,0,0,0,132528400100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132528400200000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.5506,,,,,,,,,0,0,0,0,0,0,132528400200000,Empty,Exempt,0,0,0,0,132528400200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132528500100000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.18,,,,,,,,,0,0,0,0,0,0,132528500100000,Empty,Exempt,0,0,0,0,132528500100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132528600600000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,3.17,,,,,,,,,0,0,0,0,0,0,132528600600000,Empty,Exempt,0,0,0,0,132528600600000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
