GIS_Number,GIS_Number_2,Doing_Business_As,Class,Map Name,Hse#,Address,Deedholder,Acres,Residential Occupancy Type,Style Descr,Year Built,Total Living Area,Commercial Occupancy Type,Year Built_2,Gross Bldg Area
142813100400000,142813100400000,FLAT PARKING,EXEMPT,CITY PROPERTY,312,1ST ST SE,CEDAR RAPIDS CITY OF,0.1928,,,,,,,
193020100500000,193020100500000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.2193,,,,,,,
142820600200000,142820600200000,FLAT PARKING,EXEMPT,CITY PROPERTY,101,3RD AVE SE,CEDAR RAPIDS CITY OF,0.2201,,,,,,,
191415800900000,191415800900000,FLAT PARKING,EXEMPT,CITY PROPERTY,1931,ROOSEVELT RD SW,CEDAR RAPIDS CITY OF,0.281,,,,,,,
142146000100000,142146000100000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.2893,,,,,,,
142145900500000,142145900500000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.386,,,,,,,
143437602200000,143437602200000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.7418,,,,,,,
140430101200000,140430101200000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.8,,,,,,,
142815700100000,142815700100000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.8329,,,,,,,
142727700500000,142727700500000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.841,,,,,,,
142815600100000,142815600100000,FLAT PARKING,EXEMPT,CITY PROPERTY,105,8TH AVE SE,CEDAR RAPIDS CITY OF,0.957,,,,,,,
142048301100000,142048301100000,FLAT PARKING,EXEMPT,CITY PROPERTY,300,F AVE NW,CEDAR RAPIDS CITY OF,1.019,,,,,,,
142815600300000,142815600300000,FLAT PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,1.1019,,,,,,,
142840300100000,142840300100000,FLAT PARKING,EXEMPT,CITY PROPERTY,1001,2ND ST SE,CEDAR RAPIDS CITY OF,9.66,,,,,,,
142917800800000,142917800800000,FORMERLY AJRAM FURNITURE/VAC LOT,EXEMPT,CITY PROPERTY,720,1ST AVE NW,CEDAR RAPIDS CITY OF,0.45,,,,,,,
142146100100000,142146100100000,GREEN SQUARE PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,4.132,,,,,,,
143311000100000,143311000100000,HAYES FIELD,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,4.5066,,,,,,,
142727700400000,142727700400000,HIDDER PARK,EXEMPT,CITY PROPERTY,1248,10TH ST SE,CEDAR RAPIDS CITY OF,0.771,,,,,,,
191417900400000,191417900400000,HOOVER NATURE TRAIL,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.13,,,,,,,
191415801000000,191415801000000,HOOVER NATURE TRAIL,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.44,,,,,,,
191137700200000,191137700200000,HOOVER NATURE TRAIL,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,5.1604,,,,,,,
141722600100000,141722600100000,HOUSEBOATS DOCKING,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,15.0,,,,,,,
112740200500000,112740200500000,HUNTINGTON RIDGE PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,2.442,,,,,,,
112747600100000,112747600100000,HUNTINGTON RIDGE PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,4.71,,,,,,,
142937600100000,142937600100000,ICE ARENA,EXEMPT,CITY PROPERTY,1100,ROCKFORD RD SW,CEDAR RAPIDS CITY OF,6.7615,,,,,,,
153040300100000,153040300100000,INDIAN CREEK NATURE CENTER,EXEMPT,CITY PROPERTY,6665,OTIS RD SE,CEDAR RAPIDS CITY OF,5.3012,,,,,,,
142146000300000,142146000300000,IOWA THEATRE BUILDING PARKING,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.2571,,,,,,,
143510100400000,143510100400000,IRENE DUMPKE PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,8.8605,,,,,,,
143520200200000,143520200200000,IROQUOIS PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,8.3954,,,,,,,
